,Fold Change,log2(FC)
E7F293,7.7892,2.9615
A0A8M1RIT7,5.9265,2.5672
Q504A2,5.2744,2.399
L0S5L0,5.1257,2.3578
A0A8M3AVC6,4.677,2.2256
A0A8M2B981,4.3714,2.1281
Q6P0G6,3.7549,1.9088
E7EZ47,3.6885,1.883
A0A8M3B087,0.30042,-1.7349
A5PMY6,3.2894,1.7178
A0A8M1RIT4;A0A8M1RKD0,0.30451,-1.7154
Q803R8,3.2388,1.6954
A0A8M2BL85,3.1928,1.6748
F1QGL1,3.1808,1.6694
A8WG80,3.1195,1.6413
E7F5X2,3.1039,1.6341
A0A8M3B5M2,3.0898,1.6275
A0A8M9PWG9,3.0618,1.6144
A2SWM2,2.9876,1.579
A0A8M3AY16,2.9247,1.5483
B3DGL6,0.34889,-1.5191
Q08BB0,2.8655,1.5188
Q501Z4,0.36607,-1.4498
E7F2R7,0.37016,-1.4338
A0A8M3AZP4,2.6414,1.4013
Q1JPS4,2.6252,1.3924
Q8AW56,2.6155,1.3871
Q4QRH7,2.5771,1.3657
Q07998,0.38853,-1.3639
Q6DKF0,0.39392,-1.344
B3DHW7,0.40025,-1.321
A0A8N7T8N4,0.40186,-1.3152
F1QU39,2.4849,1.3132
E7FFF8,0.40847,-1.2917
E7F211,0.40895,-1.29
Q90XA8,0.40898,-1.2899
Q6PC32,2.4259,1.2785
A0A8M3AY68,2.3929,1.2587
A0A8M2B3S8,2.3917,1.258
A0A8N7TBD5,2.3849,1.254
F1R6N4,2.3743,1.2475
A0A8M9QG49,2.3212,1.2149
Q1RLQ5,0.43146,-1.2127
A0A0R4IQ22,2.2649,1.1795
E7FFT5,0.44514,-1.1677
Q6P2T7,0.44848,-1.1569
A0A0R4IR31,0.45446,-1.1378
A0A8M9PTT9;A0A8M9PVE0,0.45569,-1.1339
Q5TKR1,2.1537,1.1068
A0A8M3B8B0,0.46609,-1.1013
A0A8M3AN39,2.1438,1.1002
A0A8M9QBN8,2.1437,1.1001
A0A8M2BE50,2.1242,1.0869
A0A8M9PZV9;A0A8M9Q352,2.1215,1.0851
F1QY45,2.1066,1.0749
A0A8M3APE4,0.47567,-1.072
A0A8M1PV89;A0A8M2B4Y6;A0A8M3AQK7;A0A8M6YZ46;A0A8M9P9N7;A0A8M9P9S3;A0A8M9PKW8;A0A8M9PS21;A0A8M9PZI5;A0A8M9Q2T5,2.0836,1.0591
F1R785,0.48211,-1.0526
B0S789,0.48588,-1.0413
A0A0R4IJK7,2.0549,1.0391
Q7ZYZ7,0.48671,-1.0389
A0A8M9PK18,0.48909,-1.0318
A0A8M1QUL2,2.0334,1.0239
Q7ZUL7,2.0254,1.0182
F1QSV4,2.0142,1.0102
